nik,nama,alamat,usia,jenis_kelamin,pekerjaan,penghasilan,jumlah_tanggungan,pendidikan,status_rumah,kendaraan,status_pernikahan
7201010101010001,Ahmad Fauzi,"Jl. Merdeka No. 45, Gorontalo",35,Laki-laki,Petani,2500000,3,SMA,Milik Sendiri,Motor,Menikah
7201010101010002,Siti Nurhaliza,"Jl. Kartini No. 12, Gorontalo",29,Perempuan,Ibu Rumah Tangga,1500000,2,SMP,Kontrakan,Tidak Ada,Menikah
7201010101010003,Budi Santoso,"Jl. Hasanuddin No. 88, Gorontalo",42,Laki-laki,Buruh Harian,1800000,4,SD,Milik Orang Tua,Motor,Menikah
7201010101010004,Rina Marlina,"Jl. Pahlawan No. 7, Gorontalo",33,Perempuan,Penjahit,2200000,1,SMA,Milik Sendiri,Tidak Ada,Lajang
7201010101010005,Andi Saputra,"Jl. Tani Makmur No. 23, Gorontalo",50,Laki-laki,Petani,2000000,5,SD,Milik Sendiri,Sepeda,Menikah
7201010101010006,Dewi Lestari,"Jl. Sudirman No. 99, Gorontalo",27,Perempuan,Karyawan Swasta,4500000,0,Sarjana,Kontrakan,Motor,Lajang
7201010101010007,Fajar Pratama,"Jl. Diponegoro No. 15, Gorontalo",38,Laki-laki,Wiraswasta,5500000,2,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010008,Cinta Amelia,"Jl. Gatot Subroto No. 3, Gorontalo",45,Perempuan,Pegawai Negeri,6000000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010009,Bayu Aditama,"Jl. Ahmad Yani No. 55, Gorontalo",25,Laki-laki,Mahasiswa,0,0,SMA,Milik Orang Tua,Motor,Lajang
7201010101010010,Eka Putri,"Jl. Soekarno Hatta No. 11, Gorontalo",31,Perempuan,Pekerja Lepas,3000000,1,SMA,Kontrakan,Motor,Lajang
7201010101010011,Taufik Hidayat,"Jl. Jendral Sudirman No. 100, Gorontalo",40,Laki-laki,Pedagang,2800000,3,SMP,Milik Sendiri,Motor,Menikah
7201010101010012,Nurul Fatimah,"Jl. Kenanga No. 2, Gorontalo",36,Perempuan,Penjual Sayur,1600000,2,SD,Kontrakan,Tidak Ada,Menikah
7201010101010013,Rizky Ananda,"Jl. Melati No. 25, Gorontalo",28,Laki-laki,Tukang Bangunan,1750000,1,SD,Milik Orang Tua,Tidak Ada,Menikah
7201010101010014,Lisa Oktaviani,"Jl. Mawar No. 4, Gorontalo",30,Perempuan,Pekerja Pabrik,3200000,0,SMA,Kontrakan,Motor,Lajang
7201010101010015,Dimas Alamsyah,"Jl. Cempaka No. 19, Gorontalo",55,Laki-laki,Petani,1900000,6,SD,Milik Sendiri,Sepeda,Menikah
7201010101010016,Maya Suryani,"Jl. Anggrek No. 8, Gorontalo",26,Perempuan,Freelancer,3800000,1,Sarjana,Milik Sendiri,Motor,Lajang
7201010101010017,Iqbal Maulana,"Jl. Kamboja No. 33, Gorontalo",39,Laki-laki,Manajer,8000000,2,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010018,Sari Wijaya,"Jl. Teratai No. 6, Gorontalo",41,Perempuan,Guru Honorer,2000000,3,Sarjana,Milik Orang Tua,Motor,Menikah
7201010101010019,Yoga Firmansyah,"Jl. Dahlia No. 10, Gorontalo",32,Laki-laki,Karyawan BUMN,7500000,1,Sarjana,Milik Sendiri,Mobil,Menikah
7201010101010020,Fitriani Anwar,"Jl. Sakura No. 1, Gorontalo",24,Perempuan,Pegawai Bank,5000000,0,Sarjana,Kontrakan,Motor,Lajang
